Time,Battery_%,Load_%
17:14:40,96,19
17:14:42,98,17
17:14:42,98,24
17:14:44,97,25
17:14:44,97,18
17:14:46,100,18
17:14:46,95,17
17:14:48,96,18
17:14:48,97,17
17:14:50,98,18
17:14:50,100,20
17:14:52,100,19
17:14:52,97,20
17:14:54,99,25
17:14:54,99,18
17:14:56,100,17
17:14:56,100,15
17:14:58,100,21
17:14:58,96,25
17:15:00,97,19
17:15:00,96,19
17:15:02,95,19
17:15:02,96,15
17:15:04,95,18
17:15:04,97,23
17:15:06,98,15
17:15:07,98,20
17:15:08,100,25
17:15:09,97,15
17:15:10,95,16
17:15:11,96,22
17:15:12,98,18
17:15:13,95,18
17:15:14,97,21
17:15:15,97,25
17:15:16,98,16
17:15:17,99,18
17:15:18,97,18
17:15:19,97,22
17:15:20,98,15
17:15:21,100,20
17:15:22,97,20
17:15:23,97,24
17:15:25,98,19
17:15:25,100,23
17:15:27,95,22
17:15:27,98,20
17:15:29,99,20
17:15:29,95,15
17:15:31,95,22
17:15:31,95,16
17:15:33,95,18
17:15:33,99,15
17:15:35,96,18
17:15:35,96,16
17:15:37,96,18
17:15:37,97,15
17:15:39,95,25
17:15:39,96,16
17:15:41,95,15
17:15:41,97,15
17:15:43,98,22
17:15:43,95,16
17:15:45,96,19
17:15:45,97,20
17:15:47,99,19
17:15:47,99,17
17:15:49,100,23
17:15:49,98,21
17:15:51,100,20
17:15:51,95,23
17:15:53,100,16
17:15:54,98,16
17:15:55,99,15
17:15:56,98,17
17:15:57,97,19
17:15:58,96,24
17:15:59,97,18
17:16:00,95,21
17:16:01,98,19
17:16:02,99,18
17:16:03,95,25
17:16:04,97,23
17:16:05,95,24
17:16:06,96,22
17:16:07,96,25
17:16:08,96,17
17:16:10,100,16
17:16:10,99,17
17:16:12,95,16
17:16:12,100,22
17:16:14,97,15
17:16:14,96,23
17:16:16,95,23
17:16:16,98,15
17:16:18,100,20
17:16:18,95,16
17:16:20,100,18
17:16:20,99,19
17:16:22,95,18
17:16:22,98,17
17:16:24,95,20
17:16:24,95,19
17:16:26,96,16
17:16:26,100,16
17:16:28,97,20
17:16:28,100,23
17:16:30,99,17
17:23:39,96,16
17:23:40,96,22
17:23:41,98,19
17:23:42,96,25
17:23:43,99,17
17:23:44,98,18
17:23:45,97,22
17:23:46,97,15
17:23:47,97,20
17:23:48,96,19
17:23:49,95,15
17:23:50,95,18
17:23:51,97,24
17:23:53,100,17
17:23:53,97,23
17:23:55,98,16
17:23:55,95,23
17:23:57,100,23
17:23:57,99,15
17:23:59,98,18
17:23:59,97,23
17:24:01,100,15
17:24:01,96,22
17:24:03,96,24
17:24:03,95,19
17:24:05,95,25
17:24:06,97,20
17:24:07,97,16
17:24:08,100,24
17:24:09,97,25
17:24:10,96,17
17:24:11,96,16
17:24:12,96,18
17:24:13,96,20
17:24:14,98,18
17:24:15,98,25
17:24:16,99,16
17:24:17,96,18
17:24:18,99,23
17:24:19,99,21
17:24:20,95,16
17:24:21,100,15
17:24:22,100,18
17:24:23,99,20
17:24:24,97,16
17:24:25,98,24
17:24:26,99,18
17:24:27,95,15
17:24:28,98,18
17:24:29,95,21
17:24:30,99,24
17:24:31,96,22
17:24:32,99,19
17:24:33,97,25
17:24:34,98,20
17:24:35,98,21
17:24:36,99,25
17:24:37,95,23
17:24:38,95,20
17:24:40,98,18
17:24:40,96,20
17:24:42,96,22
17:24:42,100,23
17:24:44,97,25
17:24:44,98,21
17:24:46,95,25
17:24:47,99,19
17:24:48,99,20
17:24:49,97,23
17:24:50,96,15
17:24:51,95,16
17:24:52,99,16
17:24:53,100,22
17:24:54,96,22
17:24:55,100,22
17:24:56,96,20
17:24:57,97,21
17:24:58,97,25
17:24:59,99,16
17:25:00,100,15
17:25:01,98,25
17:25:02,95,22
17:25:03,96,19
17:25:04,99,25
17:25:05,95,24
17:25:06,95,18
17:25:07,99,20
17:25:08,98,17
17:25:09,96,24
17:25:10,96,19
17:25:11,98,18
17:25:12,98,20
17:25:13,99,20
17:25:15,95,23
17:25:15,98,25
17:25:17,95,17
17:25:17,97,23
17:25:19,96,22
17:25:19,98,19
17:25:21,99,16
17:25:21,97,21
17:25:23,99,24
17:25:24,97,22
17:25:25,97,19
17:25:26,98,18
17:25:27,96,23
17:25:28,96,25
17:25:29,98,15
17:25:30,95,25
17:25:31,95,15
17:25:32,100,25
17:25:33,99,17
17:25:34,95,24
17:25:35,100,21
17:25:36,98,17
17:25:37,95,20
17:25:38,97,23
17:25:39,100,21
17:25:40,98,23
17:25:41,100,25
17:25:42,99,19
17:25:43,99,19
17:25:44,100,22
17:25:45,99,21
17:25:46,98,18
17:25:47,96,23
17:25:48,100,23
17:25:50,99,20
17:25:50,98,24
17:25:52,99,17
17:25:52,96,24
17:25:54,95,23
17:25:54,99,25
17:25:56,96,17
17:25:57,96,21
17:25:58,98,19
17:25:59,98,20
17:26:00,96,18
17:26:01,99,16
17:26:02,99,25
17:26:03,96,20
17:26:04,96,19
17:26:05,97,24
17:26:06,95,23
17:26:07,95,20
17:26:08,99,18
17:26:09,98,18
17:26:10,95,24
17:26:11,100,22
17:26:12,96,16
17:26:13,97,17
17:26:14,95,20
17:26:15,97,15
17:26:16,95,15
17:26:17,97,20
17:26:18,100,19
17:26:19,96,24
17:26:20,96,24
17:26:21,97,23
17:26:23,100,17
17:26:23,100,17
17:26:25,97,24
17:26:25,99,16
17:26:27,97,18
17:26:27,99,22
17:26:29,97,23
17:26:29,99,24
17:26:31,100,20
17:26:32,97,24
17:26:33,99,22
17:26:34,100,15
17:26:35,96,17
17:26:36,96,21
17:26:37,97,15
17:26:38,99,20
17:26:39,98,23
17:26:40,96,16
17:26:41,96,17
17:26:42,95,22
17:26:43,95,15
17:26:44,99,15
17:26:45,97,25
17:26:46,100,20
17:26:47,98,20
17:26:48,97,15
17:26:49,95,19
17:26:50,95,15
17:26:51,96,19
17:26:52,97,23
17:26:53,98,20
17:26:54,95,24
17:26:56,99,19
17:26:56,95,15
17:26:58,95,17
17:26:58,96,21
17:27:00,98,17
17:27:00,96,20
17:27:02,99,16
17:27:03,100,21
17:27:04,100,15
17:27:05,96,21
17:27:06,98,21
17:27:07,99,23
17:27:08,99,17
17:27:09,95,20
17:27:10,96,18
17:27:11,99,18
17:27:12,95,23
17:27:13,100,23
17:27:14,99,19
17:27:15,100,25
17:27:16,98,15
17:27:17,98,15
17:27:18,96,16
17:27:19,100,21
17:27:20,95,17
17:27:21,95,20
17:27:22,95,20
17:27:23,98,20
17:27:24,99,23
17:27:25,100,16
17:27:27,100,23
17:27:27,95,20
17:27:29,96,20
17:27:29,95,20
17:27:31,100,17
17:27:31,97,22
17:27:33,100,18
17:27:33,99,15
17:27:35,100,20
17:27:36,99,17
17:27:37,95,25
17:27:38,95,19
17:27:39,98,16
17:27:40,96,25
17:27:41,97,18
17:27:42,100,17
17:27:43,98,21
17:27:44,98,20
17:27:45,95,24
17:27:46,97,25
17:27:47,98,17
17:27:48,98,21
17:27:49,97,15
17:27:50,97,23
17:27:51,96,20
17:27:52,96,21
17:27:53,100,21
17:27:54,98,22
17:27:55,97,19
17:27:56,96,17
17:27:57,100,20
17:27:58,98,21
17:28:00,95,19
17:28:00,100,19
17:28:02,97,21
17:28:02,96,16
17:28:04,98,24
17:28:04,95,19
17:28:06,97,18
17:28:07,99,22
17:28:08,99,17
17:28:09,99,24
17:28:10,100,24
17:28:11,97,20
17:28:12,95,22
17:28:13,97,23
17:28:14,96,22
17:28:15,99,21
17:28:16,99,16
17:28:17,96,21
17:28:18,100,16
17:28:19,99,24
17:28:20,99,18
17:28:21,97,15
17:28:22,99,23
17:28:23,99,23
17:28:24,100,25
17:28:25,97,17
17:28:26,99,23
17:28:27,95,25
17:28:28,100,25
17:28:29,98,16
17:28:30,97,24
17:28:31,96,15
17:28:32,99,15
17:28:33,97,22
17:28:35,100,15
17:28:35,100,21
17:28:37,98,25
17:28:37,96,18
17:28:39,99,21
17:28:39,100,16
17:28:41,95,18
17:28:42,96,23
17:28:43,100,18
17:28:44,98,19
17:28:45,99,20
17:28:46,96,22
17:28:47,100,19
17:28:48,96,25
17:28:49,98,24
17:28:50,97,24
17:28:51,98,16
17:28:52,95,21
17:28:53,96,23
17:28:54,98,25
17:28:55,96,19
17:28:56,95,15
17:28:57,100,15
17:28:58,100,21
17:28:59,97,15
17:29:00,98,24
17:29:01,96,24
17:29:02,100,18
17:29:03,97,24
17:29:04,100,17
17:29:05,100,25
17:29:06,99,22
17:29:08,100,21
17:29:08,100,21
17:29:10,95,24
17:29:10,98,17
17:29:12,99,22
17:29:12,99,25
17:29:14,97,25
17:29:15,96,15
17:29:16,100,19
17:29:17,98,15
17:29:18,98,15
17:29:19,100,20
17:29:20,98,16
17:29:21,98,18
17:29:22,99,24
17:29:23,96,20
17:29:24,96,18
17:29:25,100,15
17:29:26,95,23
17:29:27,99,19
17:29:28,95,17
17:29:29,98,25
17:29:30,97,23
17:29:31,99,16
17:29:32,96,21
17:29:33,95,20
17:29:34,98,20
17:29:35,95,23
17:29:36,96,24
17:29:37,97,20
17:29:38,95,20
17:29:39,100,21
17:29:41,96,18
17:29:41,95,24
17:29:43,98,16
17:29:43,97,18
17:29:45,97,23
17:29:45,97,18
17:29:47,99,19
17:29:48,96,25
17:29:49,99,18
17:29:50,95,18
17:29:51,97,25
17:29:52,100,19
17:29:53,99,18
17:29:54,99,22
17:29:55,97,20
17:29:56,99,20
17:29:57,98,15
17:29:58,99,22
17:29:59,96,18
17:30:00,98,25
17:30:01,98,21
17:30:02,100,18
17:30:03,96,17
17:30:04,99,20
17:30:05,99,18
17:30:06,96,21
17:30:07,98,15
17:30:08,98,21
17:30:09,99,17
17:30:10,97,23
17:30:11,99,18
17:30:12,98,22
17:30:13,97,22
17:30:14,99,15
17:30:16,99,19
17:30:16,97,23
17:30:18,98,15
17:30:18,98,18
17:30:20,100,15
17:30:20,99,21
17:30:22,99,21
17:30:23,95,20
17:30:24,95,16
